;rowid;cid;fid;codename;filename;index1;index2;CodingLength
1;1;3;1;LicenseInformation_missing;Reviews ESSD Copernicus;8231;8345;114
2;2;4;1;Link_to_code_not_acceptable;Reviews ESSD Copernicus;8455;8744;289
3;5;3;1;LicenseInformation_missing;Reviews ESSD Copernicus;8455;8709;254
4;6;3;1;LicenseInformation_missing;Reviews ESSD Copernicus;7525;7778;253
5;7;5;1;Just_a_try;Reviews ESSD Copernicus;7324;7356;32
6;8;5;1;Just_a_try;Reviews ESSD Copernicus;7180;7202;22
7;9;5;1;Just_a_try;Reviews ESSD Copernicus;32;103;71
8;10;4;1;Link_to_code_not_acceptable;Reviews ESSD Copernicus;191;237;46
9;12;5;1;Just_a_try;Reviews ESSD Copernicus;294;397;103
10;14;3;1;LicenseInformation_missing;Reviews ESSD Copernicus;293;397;104
